title,description,category,start_date,end_date,location_text,latitude,longitude,price,website,poster_url
"SIS, EL MUSICAL","Aquesta és una adaptació del musical de Broadway SIX, i presenta les sis esposes d’Enric VIII competint en un concurs musical per decidir quina va patir més a causa del seu matrimoni. A través de cançons inspirades en icones del popactual, les protagonistes es reapropiaran de les seves narratives imaginant qui haurien estat sense el rei, convertint l’obra en un missatge d’empoderament, identitat i solidaritat femenina.",theatre,2026-05-17,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/04/Material-grafic-Escenes-Locals.jpg
ASSAIG GENERAL,"El dia abans de l’estrena de Terra Baixa un grup d’actors es reuneix per assajar. Però la realitat és que acaben fent de tot… menys assajar! Si vols riure i veure la realitat darrera el món del teatre amateur, vine a gaudir d’Assaig General!.",theatre,2026-05-17,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/1705_ASSAIG-GENERAL-1024x709.jpeg
UN CADÀVER A LES POSTRES,"En una nit boirosa, l’excèntric milionari Liónel Twain reuneix a casa seva als cinc millors detectius del món: Miló Perrier, Jessica Marbles, Sam Diamónd, Sidney Wang i Dick Charlestón. Aquests, amb els seus acompanyants, estan convidats a un sopar on, per postres, hi haurà un assassinat. Qui d’ells descobrirà l’assassí?",theatre,2026-05-31,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/3105_UN-CADAVER-1024x768.jpg
DESAHUCIADAS,Problemes i situacions límit de cinc dones del mateix entorn familiar en una Terrassa postindustrial amb ritmes de jazz.,theatre,2026-05-31,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/3105_Deshauciadas-b-n-819x1024.jpg
DINER (MOLT) NEGRE,"Si hi ha una cosa que no has de fer mai és trobar una maleta plena de diners. Y si la trobes… encara menys obrir-la. Així comença Diner (molt) negre, una comèdia trepidant sobre què pesa més: els diners o la por que et descobreixin. Una lliçó universal: si la vida et posa una maleta plena de bitllets al davant… potser t’està preparant el pitjor aniversari de la teva vida. Un bon sidral interpretat per un grup de joves actors i actrius que us faran riure.",theatre,2026-06-06,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/0606_dinermoltnegre-819x1024.png
LA CAPUTXETA I ELS LLOPS,"Un dia de pluja, la Mare demana a la Caputxeta que vagi a casa de l’Àvia a portar-li un cistell amb bon menjar. Fins aquí, tothom coneix la història… Però, i si en comptes d’un llop n’apareixen dos? I si la Caputxeta té una amiga que la va abuscar al bosc? I si es troba un Esquirol una mica poruc? I si hi afegim una senyora de ciutat que no sap ben bé què és un senglar? I el Tigretó, qui deu ser? Nenes i nens, petits i grans, deixeu-vos sorprendre!",theatre,2026-06-07,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/0706_La-caputxeta-i-els-llops-1024x771.jpeg
ESPERA’M A L’INFRAMON,"En un món dividit entre la llum i la foscor, l’amor entre Orfeu i Eurídice es posa a prova. Quan la pobresa i la por empenyen Eurídice cap a l’Inframon, governat per Hades i Persèfone, Orfeu inicia un viatge per retornar-la a la llum. Una història sobre l’esperança, la llibertat i el poder de la música per desafiar el destí.",theatre,2026-06-14,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/1406_esperam-inframon.png
VERÍ I PUNTES DE COIXÍ,"Dues encantadores tietes tenen una manera molt peculiar de practicar la caritat, donar descans i tranquil·litat a aquells que ho necessiten, aquesta pau es veurà trencada quan apareix un familiar que ho trastoca tot, podran continuar les seves obres de caritat les tietes?.",theatre,2026-06-20,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/2006_veri-puntes-de-coixi.jpg
BAJO TERAPIA,"Tres parelles, una mateixa psicòloga i una mateixa sessió que no sortirà com esperaven. Entre confessions, embolics i situacions absurdes, la teràpia es converteix en un terreny de rialles i revelacions, perquè a vegades tots necessitem estar “sota teràpia”.",theatre,2026-06-20,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/2006_Bajo-terapia.png
MIRACLE EN EL CONVENT DE SANTA MARIA-JUANA,"El famós elixir de Santa María-Juana ha perdut l’èxit i posa en risc l’economia de la comunitat. Tot canvia amb la mort de Sor Anna, quan Sor Inés, una monja novícia revolucionària, pren el relleu i transforma la fórmula amb una herba misteriosa. L’èxit del nou elixir atrau joves, comerciants de dubtosa reputació i fins i tot un agent de l’ordre. Serà aquest l’últim miracle de Santa María-Juana?",theatre,2026-06-21,,"Ajuntament de Terrassa, Raval de Montserrat, 14, 08221 Terrassa, Barcelona",41.5631581,2.0101093,,,https://www.terrassacultura.cat/wp-content/uploads/2026/03/2106_Miracle-724x1024.jpg
