title,description,category,start_date,end_date,location_text,latitude,longitude,price,website,poster_url
Darija avançat,Taller i formació de Darija avançat,other,2026-05-18,,Ateneu Candela,,,,,
Català avançat,Taller i formació de Català avançat,other,2026-05-18,,Ateneu Candela,,,,,
Castellà,Taller i formació de Castellà,other,2026-05-19,,Ateneu Candela,,,,,
Presentació El capital sexual,Presentació del llibre 'El capital sexual',other,2026-05-19,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/large/public/images/Capital%20Sexual.png?itok=OlPxIUB1
Alfabetització,Taller i formació d'alfabetització,other,2026-05-20,,Ateneu Candela,,,,,
Darija,Taller i formació de Darija,other,2026-05-20,,Ateneu Candela,,,,,
Cercle d'homes,Taller i formació per a homes,other,2026-05-20,,Ateneu Candela,,,,,
Salsa,Classe de ball de salsa,theatre,2026-05-20,,Ateneu Candela,,,,,
Català inicial,Taller i formació de Català inicial,other,2026-05-21,,Ateneu Candela,,,,,
Converses amb sentit,Activitat de conversa i diàleg,other,2026-05-21,,Ateneu Candela,,,,,
Llegim-nos! maig: Un assumpte familiar,Club de lectura sobre 'Un assumpte familiar',other,2026-05-21,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/large/public/images/Llegim-nos%282%29_1.png?itok=21XOA_68
Curs online: Coneix la Weil més genuïna,Curs online per conèixer la Weil més genuïna,other,2026-05-21,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/large/public/images/CLUB%20LECTURA%20WEIL%281%29.png?itok=c7icmW2O
Àrab per petits,Taller i formació d'àrab per a nens,other,2026-05-22,,Ateneu Candela,,,,,
Presentació Atusparia,Presentació del projecte o obra Atusparia,other,2026-05-22,,Ateneu Candela,,,,,
En Veu Alta: Maig: Visitem l'Escola Samuntada de Sabadell,Visita a l'Escola Samuntada de Sabadell,other,2026-05-23,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/large/public/images/EN%20VEU%20ALTA%2815%29.png?itok=O9MHH-K2
El futuro no está escrito,Activitat cultural,other,2026-05-25,,Ateneu Candela,,,,,
Trobada de sòcies,Reunió de sòcies de l'Ateneu Candela,other,2026-05-28,,Ateneu Candela,,,,,
Territorio Sur Maig: Suite Tokio,Activitat cultural dins del cicle Territorio Sur: Suite Tokio,other,2026-05-29,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/sm_1r1_540x540/public/images/TerritorioSur%203%20Instagram%284%29.png?itok=g2ytBB92
Cineforum: Mas Palomas organitza Club Q,Sessió de cinefòrum organitzada per Mas Palomas i Club Q,theatre,2026-05-29,,Ateneu Candela,,,,,
Presentació Marcelino,Presentació del llibre o projecte Marcelino,other,2026-05-30,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/sm_1r1_540x540/public/images/Marcelino%281%29.png?itok=BgOBzSzX
"CONCERT ""AgenteKanalla""",Concert del grup AgenteKanalla,music,2026-05-30,,Ateneu Candela,,,,,
Cercle d'homes,Taller i formació per a homes,other,2026-06-03,,Ateneu Candela,,,,,
Curs online: Coneix la Weil més genuïna,Curs online per conèixer la Weil més genuïna,other,2026-06-04,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/large/public/images/CLUB%20LECTURA%20WEIL%281%29.png?itok=c7icmW2O
Llegim-nos! matí: Punt d'aranya,Club de lectura matinal: Punt d'aranya,other,2026-06-05,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/sm_1r1_540x540/public/images/LLEGIM-NOS%20MAT%C3%8D%2822%29.png?itok=cT_t2FYN
II Trobada de grups de lectura i formació de Synusia,Segona trobada de grups de lectura i formació de Synusia,other,2026-06-06,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/sm_1r1_540x540/public/images/II%20Trobada.png?itok=bNZrMT4D
Llegim-nos! juny: Jezabel,Club de lectura: Jezabel,other,2026-06-11,,Ateneu Candela,,,,,https://ateneucandela.info/sites/default/files/styles/large/public/images/Llegim-nos%282%29_1.png?itok=21XOA_68
El futuro no está escrito,Activitat cultural,other,2026-06-15,,Ateneu Candela,,,,,
