title,description,category,start_date,end_date,location_text,latitude,longitude,price,website,poster_url
Assaig especial obert a Tothom,,other,2026-05-01,2026-05-02,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Assaig general,,other,2026-05-03,2026-05-05,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Festes de primavera (Barcelona),,other,2026-05-06,2026-05-07,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Assaig general,,other,2026-05-08,2026-05-09,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Assaig general,,other,2026-05-10,2026-05-12,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Aniversari Colla Castellera Esquerra de l’eixample (Barcelona),,other,2026-05-13,,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Diada a Sarrià,,other,2026-05-14,,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Assaig general,,other,2026-05-15,2026-05-16,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Assaig especial,,other,2026-05-17,2026-05-18,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Assaig general,,other,2026-05-19,,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Sant Joan a Pont de Suert,,other,2026-05-20,2026-05-23,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Sant Joan a Pont de Suert,,other,2026-05-24,,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Assaig general,,other,2026-05-25,2026-05-26,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Xerrada camises i Vermut Musical amb Soul System,,music,2026-05-27,,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
"Sant Pere (Tarragona, Serrallo)",,other,2026-05-27,,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Pilar Dia de l’Orgull LGTBI+,,other,2026-05-28,,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
Assaig general,,other,2026-05-29,2026-05-30,Castellers de Terrassa,41.566954,2.0023278,,,https://nuevo.castellersdeterrassa.cat/wp-content/uploads/2019/07/logoR.png
