title,description,category,start_date,end_date,location_text,latitude,longitude,price,website,poster_url
Suite Romeu i Julieta,,theatre,2026-07-02,,La Factoria Cultural de Terrassa,41.5662156,2.006801,12.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Cançó d'amor i de guerr...,,music,2026-09-13,,La Factoria Cultural de Terrassa,41.5662156,2.006801,30.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Giselle,,theatre,2026-09-19,,La Factoria Cultural de Terrassa,41.5662156,2.006801,28.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
La Revolución K-Pop,,other,2026-09-20,,La Factoria Cultural de Terrassa,41.5662156,2.006801,22.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
El Pony Menut,,other,2026-09-26,,La Factoria Cultural de Terrassa,41.5662156,2.006801,18.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Mejor no decirlo,,theatre,2026-09-27,,La Factoria Cultural de Terrassa,41.5662156,2.006801,38.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Stravinsky,,theatre,2026-10-03,,La Factoria Cultural de Terrassa,41.5662156,2.006801,24.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Ángel Martín (2026),,theatre,2026-10-09,2026-10-10,La Factoria Cultural de Terrassa,41.5662156,2.006801,24.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
El gran show del Rey Leó...,,other,2026-10-11,,La Factoria Cultural de Terrassa,41.5662156,2.006801,22.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Dancing Beethoven (2026),,theatre,2026-10-17,,La Factoria Cultural de Terrassa,41.5662156,2.006801,15.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Pensionistas,,theatre,2026-10-18,,La Factoria Cultural de Terrassa,41.5662156,2.006801,22.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Fórmula V,,music,2026-10-24,,La Factoria Cultural de Terrassa,41.5662156,2.006801,42.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Yo sólo quiero irme a Fr...,,theatre,2026-10-25,,La Factoria Cultural de Terrassa,41.5662156,2.006801,36.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
"Joan Pera, L’Auca del...",,theatre,2026-10-31,,La Factoria Cultural de Terrassa,41.5662156,2.006801,27.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Ballet Nacional de Españ...,,theatre,2026-11-07,2026-11-08,La Factoria Cultural de Terrassa,41.5662156,2.006801,18.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Ara Malikian,,music,2026-11-13,,La Factoria Cultural de Terrassa,41.5662156,2.006801,50.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Gala d'Estrelles English ...,,theatre,2026-11-21,2026-11-22,La Factoria Cultural de Terrassa,41.5662156,2.006801,38.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Llach - Gener 76 · home...,,music,2026-11-29,,La Factoria Cultural de Terrassa,41.5662156,2.006801,35.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
El Trencanous,,theatre,2026-12-12,2026-12-13,La Factoria Cultural de Terrassa,41.5662156,2.006801,12.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
Xiula,,other,2026-12-27,,La Factoria Cultural de Terrassa,41.5662156,2.006801,16.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
"SAU, un concert de pel·l...",,music,2026-12-28,,La Factoria Cultural de Terrassa,41.5662156,2.006801,35.00,,https://www.lafactcultural.cat/wp-content/themes/laFactCultural/img/Logo_factoria.png
