title,description,category,start_date,end_date,location_text,latitude,longitude,price,website,poster_url
ASLÁNDTICOS,(APLAZADO) (20 Años Fatal de los Nervios),music,2026-05-08,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/05/SR64_Aslandticos_aplazado.jpg
ESTOPAOS,(Tributo a ESTOPA),music,2026-05-09,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2024/02/SR64_Estopaos_Portada.jpg
O'FUNKILLO,,music,2026-05-15,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/03/SR64_OFunkillo.jpg
D'CALLAOS,,music,2026-05-16,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/02/SR64_D-Callaos.jpg
JOSÉ EL CIEGO,,music,2026-05-22,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2025/04/SR64_JoseElCiego.jpg
TARDEO SÚPER TERRASSA 90's,"(Ricardo F, Juanjo Ese, Dj Gusta, Dj Xavix)",music,2026-05-30,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/04/SuperTardeo.jpeg
CHACHE ALDESKUIDO,,music,2026-06-05,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/03/SR64_ChacheAldeskuido.jpg
CRISTIAN DE MORET,,music,2026-06-13,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/04/SR64_CristianDeMoret.jpg
EDDIE YAGO & DJ SOLJA,,music,2026-06-19,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/05/SR64_EddieSolja.jpg
EL IMPOSTOR by TONI GARCÍA,,music,2026-06-20,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/04/SR64_ToniGarcia.jpg
ROXETTE EXPERIENCE,(ROXETTE LIVE EXPERIENCE),music,2026-06-26,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/01/SR64_RoxetteExperience.jpg
JOSÉ EL FRANCÉS,,music,2026-10-02,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/01/SR64_JoseFrances.jpg
EVADIRSE,,music,2026-10-10,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2026/01/SR64_Evadirse.jpg
VARGAS BLUES BAND,,music,2026-10-31,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2024/08/SR64_VargasBluesBand.jpg
MIND2MODE,"(Tributo a U2, Depeche Mode y Simple Minds)",music,2026-11-20,,"Sala Rasa 64, C/LA RASA 64 08201 TERRASSA (Barcelona)",30.6794756,87.6902103,,,https://salarasa64.com/wp-content/uploads/2024/10/SR64_Mind2Mode.jpg
