title,description,category,start_date,end_date,location_text,latitude,longitude,price,website,poster_url
[Presentació] El capital sexual,,other,2026-05-19,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/Capital%20Sexual.png?itok=9c_Vr6od
[Llegim-nos! maig] Un assumpte familiar,,other,2026-05-21,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/Llegim-nos%282%29_1.png?itok=21Xubpoq
[Col·laboració] Curs online: Coneix la Weil més genuïna,,other,2026-05-21,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/cartell%20aritjol%20weil.png?itok=rLXUPYep
[Presentació] Atusparia,,other,2026-05-22,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/Presentaci%C3%B3Atusparia%283%29.png?itok=05ko3YBO
[En Veu Alta] Maig: Visitem l'Escola Samuntada de Sabadell,,other,2026-05-23,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/EN%20VEU%20ALTA%2815%29.png?itok=jPFApxMK
[Grup de pensament] El futuro no está escrito-maig 26,,other,2026-05-25,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/EL%20FUTURO%20NO%20EST%C3%81%20ESCRITO%20plantilla%20IG%20%281080%20x%201350%20px%29%286%29_0.png?itok=pVLqQ7E7
[Territorio Sur Maig] Suite Tokio,,other,2026-05-29,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/TerritorioSur%203%20Instagram%284%29.png?h=77795331&itok=R6J_782Q
[Col·laboració] Cinefòrum #Maspalomas,,theatre,2026-05-29,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/maspalomas.png?itok=cA0qhsdq
[Presentació] Marcelino,,other,2026-05-30,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/Marcelino%281%29.png?itok=647qreuu
[Llegim-nos! matí] Punt d'aranya,,other,2026-06-05,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/LLEGIM-NOS%20MAT%C3%8D%2822%29.png?itok=HAY3dZhl
II Trobada de grups de lectura i formació de Synusia,,other,2026-06-06,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/II%20Trobada.png?itok=n1igYB1K
[Llegim-nos! juny] Jezabel,,other,2026-06-11,,Synusia,41.5677137,2.0091632,,,https://synusia.cc/sites/default/files/styles/sm_r_16_9_540x304/public/Llegim-nos%284%29_1.png?itok=PoZA9k43
